Source,Content,Codes
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"neurodevelopment (eg, age)
",Covariate
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"NI values were elevated during normal development, but excessive weight gain showed distinct associations with greater RNI values over time, and this was modulated by sex.
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"release 4.0
",ABCD Release
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"6,830",Sample Size
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"reduced to 6,830 in our analysis based on the amount of available data for total fat and sugar intake.
",Participant
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"age (in months)
",Covariate
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"linear mixed effect models
",Statistical Model
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"We examined the correlation of regional activation pattern and thickness measures with impulsivity behaviors (positive and negative urgency) of high- and medium-risk children using nonparametric Spearman’s correlations.
",Dependent Variable
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"risk groups
",Independent Variable
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"On further analysis, at 2-year follow-up, elevated BAS fun seeking and drive scores were observed in both high- and medium-risk adolescents relative to their lowrisk peers, reflecting their propensity toward affective and behavioral responsivity to rewarding stimuli.
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"Furthermore, the blunted PFC activation in high-risk children possibly reflects their reduced sensitivity to reward, consistent with the hypothesis that these children are at risk for seeking more intense rewards to compensate for a potential reward deficit.
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"The analysis focused on specific ROIs, including bilateral PFC [middle frontal cortex (MFC) rostral, MFC caudal, ACC rostral, ACC caudal, orbitofrontal cortex (OFC) lateral, and OFC medial], DS (caudate, putamen), ventral striatum (nucleus accumbens), amygdala, insula, posterior cingulate cortex, pallidum, cuneus, precuneus, and thalamus.
",DV Supporting Info
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"Overall, these findings are consistent with the premise that a difficult environment, including parental aggressiveness or hyperactivity, and low education or income status, high fat/sugar intake, greater screen time, and prenatal alcohol exposure, are major determinants of adverse behavioral outcomes and elevated risk for addiction in adolescents (Supplemental Figure 3). 
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"children aged 9e10
",Participant Age
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"2-year follow-up
",ABCD Time Point
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"behavioral as well as neural changes
",Dependent Variable
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"sex (male or female)
",Covariate
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"race/ethnicity (White, Black, Latino/Hispanic, or other)
",Covariate
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"We utilized various variables as baseline events in our factor model, including parental education, family income (as indicators of SES), parent/caregiver ethnicity, prenatal exposure to alcohol or caffeine, family history of AUDs, family environment, parents’ behavioral, emotional, and social problems, total fat and sugar intake (collected at 2-year follow-up), screen time usage, and body mass index (BMI) z-score (please see Table 1). For more information about each variable used in the factor model and the detailed calculation of the BMI z-score, please refer to the methods section in Supplemental File S1.
",IV Supporting Info
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"BOLD findings during the MID task revealed lower MFC, thalamus, and insular activation in high-risk (vs. low-risk) children during anticipation of reward/large reward or loss avoidance. However, during reward receipt, elevated frontal and precuneus activations were seen in high-risk children (vs. lowrisk).
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"Lower MFC, insular, and thalamus activation during reward anticipation in high-risk children (vs. low-risk) seen in our study aligns with prior reports on children exposed to high levels of life adversity [1]
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"In addition, we observed reduced thickness in the insular and frontal regions among both high- and moderate-risk children compared to low-risk children.
",Findings
Agarwal-2023-10.1016_j.jadohealth.2023.08.033.pdf,"Our study also uncovered a significant negative correlation between the thickness of the MFC and both negative and positive urgency behaviors, specifically in Figure 3. Bar plots depicting the difference in cortical thickness between the different risk-groups test set, (A); validation set (B). Error bars show 95% confidence interval. Here, MFC: middle frontal cortex, ACC: anterior cingulate cortex, OFC: orbitofrontal cortex, PCC: posterior cingulate cortex, PCu: precuneus; *denotes p < .05 significant difference between the groups on Bonferroni correction.
K. Agarwal et al. / Journal of Adolescent Health xxx (2023) 1e12 9
high-risk children.
",Findings
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"4.0 release
",ABCD Release
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"For the purposes of our analysis, we applied the following exclusion criteria: 
1) the parent/caregiver reported their child had serious medical or neurological condition (brain hemorrhage, cerebral palsy, brain tumor, stroke, aneurysm, brain hematoma), schizophrenia, autism spectrum disorder, diabetes, muscular dystrophy, multiple sclerosis, kidney disease, cancer, lead poisoning, or heart problems; 2) unreliable anthropometric data, including biologically implausible height or weight values and inconsistent weight measurements between baseline and the year-2 follow up; 3) underweight status as defined by body mass index percentile adjusted for age and sex (BMI%) below the 5th percentile; 4) excessive head motion during MRI scanning (greater than 25 % of frames with framewise displacement (FD) > 0.2 mm).
Participants were included if they had complete data for the following variables: 
1) at baseline: height, weight, combined household income (CHI), age, sex, and complete resting state functional correlation data; 2) at 2-year follow-up: soda intake as measured by Youth Block Food Screen.
",Participant
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"year-2 follow up visit
",ABCD Time Point
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"2191 participants
",Sample Size
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"The average age at baseline was 9.97 ± 0.62 years.
",Participant Age
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"SSB consumption
",Dependent Variable
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"age
",Covariate
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"SVC model 
",Statistical Model
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"Binary logistic regression
",Statistical Model
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"The functional connection between the right caudate and visual network exhibited strong predictive power, with each increase in unit of connection associated with a 71 % increased probability of being in the high group.
",Findings
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"The increased connectivity seen between the visual cortex and caudate presently, during a resting state scan with no feedback, seems to suggest that this pathway is active during rest and may predispose adolescents to consume higher amounts of SSB.
",Findings
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"possible ROI to ROI functional connections
",Independent Variable
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"sex
",Covariate
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"BMI %
",Covariate
Akhmadjonova-2025-10.1016_j.physbeh.2025.11507.pdf,"In conclusion, using a large sample and data driven methods we found that sex and baseline functional connectivity between the right caudate and the visual network showed strong predictive power to detect SSB consumption at the 2-year follow up visit.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"release 4.0
",ABCD Release
Ahn-2024-10.1177_01939459241273361.pdf,"collected between 2016 and 2022
",ABCD Time Point
Ahn-2024-10.1177_01939459241273361.pdf,"Inclusion criteria included age between 9 and 10 years and fluency in English, while exclusion criteria were limited to neuroimaging contraindications and severe sensory, intellectual, or medical problems.
",Participant
Ahn-2024-10.1177_01939459241273361.pdf,"baseline (age 9-10years) a
",Participant Age
Ahn-2024-10.1177_01939459241273361.pdf,"Chi-square tests
",Statistical Model
Ahn-2024-10.1177_01939459241273361.pdf,"5960 young adolescents
",Sample Size
Ahn-2024-10.1177_01939459241273361.pdf,"Health care utilization
",Dependent Variable
Ahn-2024-10.1177_01939459241273361.pdf,"persistent pain conditions
",Independent Variable
Ahn-2024-10.1177_01939459241273361.pdf,"We collapsed these annual pain reports into pain present (yes/no) and then coded longitudinal pain as none (0 complaints across 4years), infrequent (1-2 years), and persistent/recurrent (PRP; present across 3-4 assessments).
",IV Supporting Info
Ahn-2024-10.1177_01939459241273361.pdf,"Annual utilization was coded as any nonroutine visit during the year (yes vs no) and the sum of utilization across time was then coded as none to 1 year versus 2 or more years (ie, higher HCU).
",DV Supporting Info
Ahn-2024-10.1177_01939459241273361.pdf,"sex
",Covariate
Ahn-2024-10.1177_01939459241273361.pdf,"we found that compared to youth with infrequent or no pain reports from ages 9 to 10 to 12 to 13 years, those with PRP were more than twice as likely to have higher nonroutine HCU. Most important, we found that several parental and socioeconomic factors affected HCU in this sample, emphasizing how the proximal environment affects HCU for children with PRP.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"Like other studies, we found that parental pain contributed to higher HCU among children, adjusting for PRP status and other factors.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"parental pain presence
",Additional Variable
Ahn-2024-10.1177_01939459241273361.pdf,"We also found that higher parental education increased the likelihood of higher nonroutine HCU.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"Our findings demonstrate the impact of PRP, parental, and family socioeconomic factors on children’s HCU, emphasizing the importance of family-centered care and supportive economic policies.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"follow-up years 1 to 3 through early adolescence (ages 12-13 years)
",Participant Age
Ahn-2024-10.1177_01939459241273361.pdf,"race
",Covariate
Ahn-2024-10.1177_01939459241273361.pdf,"ethnicity
",Covariate
Ahn-2024-10.1177_01939459241273361.pdf,"comorbidity burden
",Covariate
Ahn-2024-10.1177_01939459241273361.pdf,"particularly since higher comorbidity burden was also associated with HCU and many medical conditions are associated with pain
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"Notably, our analysis demonstrated that youth living in households below the poverty line were more likely to receive nonroutine care.
",Findings
Ahn-2024-10.1177_01939459241273361.pdf,"household income
",Additional Variable
Ahn-2024-10.1177_01939459241273361.pdf,"insurance status
",Additional Variable
Ahn-2024-10.1177_01939459241273361.pdf,"parent’s highest education
",Additional Variable
Ahn-2024-10.1177_01939459241273361.pdf,"Import, Black children, those who reported mixed race, and other non-White youth were 20% to 26% less likely than White children to have had higher HCU across the 4-year study period. In contrast, a recent review showed that minority and immigrant groups were more likely to use emergency services—due, in part, to lack of any health insurance.18 In our study, we controlled for insurance type and nearly all children were covered by either private or governmental insurance.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"family financial strain
",Independent Variable
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"Parents answered yes/no questions such as: [In the past 12 months, has your family…] …needed food but couldn’t afford to buy it?, …been evicted from your home for not paying the rent or mortgage?, …had someone who needed to go to the dentist but you couldn’t afford it? These items were summed to create a total financial strain score that could range from zero to seven.
",IV Supporting Info
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"income
",Covariate
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"family conflict
",Additional Variable
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"We found that, over and above the effects of income, parents’ perceived financial difficulties were associated with a greater likelihood of their children engaging in externalizing and internalizing behaviors two years later, both directly and through heightened levels of family conflict.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"The fact that financial strain predicts both indirect and direct changes on children’s maladjustment over and beyond the impact of family income is a subtle yet important finding of the present study that is distinct from and adds to classical Family Stress Model findings.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"Financial strain was found to be both directly and indirectly (through conflict) impactful on youths’ adjustment.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"In the present study, we found that families perceiving themselves to be under financial strain experienced greater family conflict and more youth maladjustment, regardless of objective income level.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"Clinically, our findings demonstrate that subjective financial strain impacts youth development and that youth may adopt their parents’ financial worries, resulting in greater family discord and hostility.
",Findings
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"Release 5.0
",ABCD Release
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"first three waves of data collection
",ABCD Time Point
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"Mage at baseline = 9.48, SD = 0.51 years
",Participant Age
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"11,868 youth
",Sample Size
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"regression analyses
",Statistical Model
Aaron-2025-10.1007_s10826-025-03111-1.pdf,"externalizing or internalizing behavior
",Dependent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"From 2016 to 2018,
",ABCD Time Point
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"ABCD 5.1 release
",ABCD Release
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"we restricted the larger ABCD Study dataset 
to youth with data available for hair toxicology and mental/physical health
",Participant
Aks-2025-10.1016_j.ntt.2025.107433.pdf," 1,903 youth
",Sample Size
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"aged 9-10
",Participant Age
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"age,
",Covariate
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"THC,
",Independent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Presumed positive THCCOOH results and parent cannabinoids were validated and quantified 
through LC-MS/MS or GC-MS/MS analysis (THCCOOH, LOD/LOQ = 0.02 pg/mg; THC and CBD = 5 pg/mg).
",IV Supporting Info
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"externalizing and internalizing symptoms
",Dependent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Thirty-five items measured externalizing symptoms (“rule-breaking behavior,” 
“aggressive behavior”) and 32 items measured internalizing symptoms (“somatic complaints,”
 “anxious/depressed,”
 
“withdrawn/depressed”). We used the age and gender-normed t-scores
",DV Supporting Info
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"prospective and linear models
",Statistical Model
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"THC concentration positively 
predicted the number of strengthening exercise days and, prior to multiple comparisons corrections and inclusion of THC*covariate 
interactions, physical exercise days. However, in the presence of CBD, THC concentration was negatively associated with exercise.
CBD concentration alone was associated with fewer exercise days. Further, greater CBD concentration was related to lower 
internalizing symptoms at the next annual visit, though this was no longer significant after FDR correction.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"However, 
for other health outcomes, we observed sex-specific associations between cannabinoid concentrations and mental and physical health.
In females, cannabinoid analytes prospectively predicted relationships with sleep duration, and asthma, while in males, analytes 
uniquely predicted number of physical exercise days and sleep duration, and prior to FDR correction predicted externalizing 
symptoms.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Concurrent analyses revealed that THC concentration was negatively associated with exercise days and sleep duration, 
though in the presence of CBD, THC concentration was positively associated with exercise days and sleep duration.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"THCCOOH concentration was related to fewer exercise days and less asthma presence, as well as greater 
internalizing and externalizing symptoms.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Among continuous cannabinoid measures, THC concentrations were positively 
associated with the number of days of both physical exercise and strengthening exercise, though results did not withstand FDR 
corrections or inclusion of THC*covariate interactions indicating that this association may be better explained by the interaction 
between THC concentrations and covariates (e.g., youth age, pubertal development) .
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"CBD
",Additional Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"THCCOOH
",Independent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"household income
",Covariate
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"pubertal development
",Covariate
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"physical exercise
",Dependent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"presence of asthma
",Dependent Variable
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"average nightly sleep duration
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"In terms of our models where cannabinoid concentrations predicted mental health outcomes, higher CBD concentrations 
predicted fewer internalizing symptoms prior to correcting for multiple comparisons. This was consistent with prior literature that 
suggested CBD concentrations may modulate the depression and anxiety symptoms that are potentially associated with cannabis use 
(Morgan et al., 2012; Niesink & van Laar, 2013; Solowij et al., 2018; Xue et al., 2021). CBD also was proposed to have beneficial, 
therapeutic effects in depression (García-Gutiérrez et al., 2020). We did not find a relationship between THC concentrations and 
internalizing symptoms one year later, which could suggest the influence of THC operates more acutely.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Regarding sleep, THCCOOH negatively predicted sleep duration one year later.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"For males, THC presence was negatively associated with physical exercise, while THC 
concentrations demonstrated a positive relationship. For females, the same pattern was observed but for strengthening exercise.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"Both male and female young adolescents demonstrated similar patterns between cannabinoids and sleep duration. Overall, 
THC and THCCOOH were negatively related to sleep duration. Yet CBD, by independent concentrations in males or the presence of 
CBD in conjunction with THC in females, positively predicted nightly sleep
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"In terms of physical activity and asthma, males and females displayed similar associations between THC concentrations and 
strength exercise, but different associations between cannabinoid constituents and physical exercise or asthma. THC concentrations 
were positively associated with strengthening exercises for both males and females, however, when looking at individuals who also 
had CBD present, THC concentrations became negatively associated with strengthening exercise for both sexes.
",Findings
Aks-2025-10.1016_j.ntt.2025.107433.pdf,"asthma presence predicted lower THCCOOH concentration
",Findings
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Inclusion criteria were having data on our variables.
Participants could be included regardless of race or ethnicity
",Participant
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"n = 10,418
",Sample Size
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"mixed-effects regressions
",Statistical Model
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"9- and 10-year-old children
",Participant Age
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Parental Educational Attainment.
",Independent Variable
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Household Income.
",Independent Variable
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Participants reported their years of schooling. This variable was operationalized as a five-level nominal variable: less than a high school diploma, high school diploma, some college, bachelor degree, graduate studies.
",IV Supporting Info
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Parents reported their overall annual income. This was a three-level nominal variable: <$50,000, $50,000–$100,000, and $100,000+.
",IV Supporting Info
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Race.
",Additional Variable
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Ethnicity.
",Covariate
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Age.
",Covariate
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Sex.
",Covariate
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Parental marital status.
",Covariate
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Although higher parental education and household income predicted higher working memory (1st finding), parental education and household income showed weaker effects on Black children than White children’s working memory (2nd finding).
Third, income differentials (lower income levels of Black families with the same parental education and family structure) explain why parental education shows a weaker effect on working memory for Black than White children (3rd finding).
",Findings
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"working memory
",Dependent Variable
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"Among American children, high parental education and household income correlate with better working memory. However, the effect of parental education is unequal across racial groups, with the marginal return of parental education being smaller for Black families than White people.
Income, however, generates a similar outcome for Black and White families. Finally, parental education generates less outcome than the differential income of highly educated Black and White families.
",Findings
Akhlaghipour-2020-10.3390_brainsci10120950.pdf,"baseline
",ABCD Time Point
Allen-2022-10.3390_ijerph19159447.pdf,"Release 3.0.1
",ABCD Release
Allen-2022-10.3390_ijerph19159447.pdf,"We excluded participants from our analyses who were missing waist circumference, height, age, or sex data.
",Participant
Allen-2022-10.3390_ijerph19159447.pdf,"11,112 participants
",Sample Size
Allen-2022-10.3390_ijerph19159447.pdf,"aged 9–10 years.
",Participant Age
Allen-2022-10.3390_ijerph19159447.pdf,"features (i.e., intrapersonal, interpersonal, and community)
",Independent Variable
Allen-2022-10.3390_ijerph19159447.pdf,"iterative random forest (iRF)
",Statistical Model
Allen-2022-10.3390_ijerph19159447.pdf,"The predictive models discovered compounding obesogenic risk for youth living in low-income neighborhoods that engage in little to no weekly sports activities.
",Findings
Allen-2022-10.3390_ijerph19159447.pdf,"1-year follow-up visit
",ABCD Time Point
Allen-2022-10.3390_ijerph19159447.pdf,"waist-toheight ratio
",Dependent Variable
Allen-2022-10.3390_ijerph19159447.pdf,"The prediction models also discovered compounding barriers within the community level. Here, the finding was that impoverished neighborhoods with a high proportion of single-parent households are more obesogenic than impoverished neighborhoods with a low proportion of single-parent households
",Findings
Allen-2022-10.3390_ijerph19159447.pdf,"A paradoxical finding in this study was that two of the cross-validated interactions described both high and low levels of two risk factors predictive of higher waist-to-height ratios compared to high levels of both factors. For example, youth living in neighborhoods characterized by low neighborhood education levels and high median home values had higher predicted waist-to-height ratios compared to youth living in neighborhoods characterized by low neighborhood education levels and low median home values.
",Findings
Allen-2022-10.3390_ijerph19159447.pdf,"Overall, this study shows evidence that multiple levels of a youth’s ecosystem interact to exacerbate the obesity risk.
",Findings
Allen-2022-10.3390_ijerph19159447.pdf,"The primary outcome measure in our analyses was age and sex-adjusted z-scores for waist-to-height ratio. We chose this metric because it adjusts for height, age, and sex differences, and is a better surrogate measure of percent body fat than body mass index [26]. We calculated standardized scores using the childsds R package (version 0.7.6), which is based on the distribution of waist-height ratio in children aged 5–19 years in NHANES III [27]. To perform the calculation, we retrieved waist circumference, height, sex, and age from the ABCD Youth Anthropometrics file named abcd_ant01. To account for extreme and/or unlikely input data for the calculation of waist-to-height ratios, we removed individuals with an age and sex adjusted z-score of ≥4 or ≤−4 using the waist-toheight ratio z-scores and a CDC reference table for height, weight, and body mass index [28].
",DV Supporting Info
Allen-2022-10.3390_ijerph19159447.pdf,"We selected these features to provide information about individual characteristics of the child (i.e., pubertal stage, nutrition, and physical activity), their household (i.e., family history and parent demographics), and neighborhood environment (i.e., crime, pollution, and poverty).
",IV Supporting Info
Alnæs-2020-10.1073_pnas.2001517117.pdf,"release 2.0.1.
",ABCD Release
Alnæs-2020-10.1073_pnas.2001517117.pdf,"We then excluded variables with less than 90% of retained datapoints, before excluding subjects with less than 90% retained data across the retained variables.
",Participant
Alnæs-2020-10.1073_pnas.2001517117.pdf,"n = 7,577
",Sample Size
Alnæs-2020-10.1073_pnas.2001517117.pdf,"mean age = 9.9
",Participant Age
Alnæs-2020-10.1073_pnas.2001517117.pdf,"The first mode links obstetric complications and early life factors such as duration of breastfeeding and motor development,
",Findings
Alnæs-2020-10.1073_pnas.2001517117.pdf,"with cognitive ability, cortical surface area, thickness, and volume in late childhood.
",Findings
Alnæs-2020-10.1073_pnas.2001517117.pdf,"The present results support that children with a history of obstetric and perinatal complications show delayed brain development in late childhood and are consistent with reports associating birth weight with cortical area and brain volume in childhood and adolescence
",Findings
Alnæs-2020-10.1073_pnas.2001517117.pdf,"age
",Covariate
Alnæs-2020-10.1073_pnas.2001517117.pdf,"baseline
",ABCD Time Point
Alnæs-2020-10.1073_pnas.2001517117.pdf,"eTIV
",Covariate
Alnæs-2020-10.1073_pnas.2001517117.pdf,"perinatal and early life events
",Independent Variable
Alnæs-2020-10.1073_pnas.2001517117.pdf,"brain features
",Dependent Variable
Alnæs-2020-10.1073_pnas.2001517117.pdf,"CCA (24) using MATLAB R2019b
",Statistical Model
Alnæs-2020-10.1073_pnas.2001517117.pdf,"Canonical correlations for the first three modes were significant and robust as assessed by 10-fold crossvalidation and permutation (out-of-sample r = 0.61, r = 0.42, and r = 0.38, all permuted-P = 0.001;
",IV Supporting Info
Alnæs-2020-10.1073_pnas.2001517117.pdf,"The mode links several positive and negative life events and environmental circumstances, with the highest loading factors being related to socioeconomic status, such as poverty, parent unemployment, and education level. It further captures several factors known to be related to social deprivation, such as degree of family planning and early pregnancies, neighborhood level of violence, and level of religious beliefs. These constitute important environmental conditions for neurodevelopment that these children receive from their parents, their community, and society at large. Consistent with the literature on the effect of socioeconomic deprivation on child development, this mode is also associated with less sleep, worse school performance, and lower cognitive ability
",Findings
